fileNames,language,imports,numImages
6d829a093db9421764d27624561b05d4480af4da.ipynb,python3,"["" numpy"", "" pandas"", ""pandas Series"", ""pandas DataFrame"", "" matplotlib.pyplot"", ""pylab rcParams""]",6
dc6bb92723a79de6d7bd99b59dbc268d373c7244.ipynb,python3,"["" numpy"", "" imageio"", "" matplotlib.pyplot""]",4
ba7d9cbfa571781140ba29ccd185c6899af8cfb5.ipynb,python2,"["" numpy"", "" matplotlib.pyplot"", "" sys"", "" caffe""]",6
616351a7b8dce869d4afdc23744dc52de1929eab.ipynb,python3,"["" time"", "" numpy"", "" h5py"", "" matplotlib.pyplot"", "" scipy"", ""PIL Image"", ""scipy ndimage"", ""dnn_app_utils_v3 *""]",5
07babf82d7cc78add46b1d7a6ad50ba830986990.ipynb,python3,"["" numpy"", "" matplotlib.pyplot"", "" pandas"", ""pathlib Path"", "" os"", "" time"", ""datetime datetime"", ""datetime timedelta"", "" matplotlib"", "" numpy"", "" datetime"", "" pandas"", ""sklearn.base BaseEstimator"", ""sklearn.pipeline make_pipeline"", ""sklearn.preprocessing Imputer"", ""sklearn.ensemble ExtraTreesRegressor""]",10
0f42a22e005a60223eb06da65c75f3c879da0e5b.ipynb,python3,"["" pandas"", "" numpy"", "" seaborn"", ""matplotlib pyplot""]",3
4535df2d6afc595dccad871b50f8b22066917d02.ipynb,python3,"["" os"", "" numpy"", "" pandas"", "" matplotlib.pyplot"", "" seaborn"", "" warnings""]",1
c08d462160caf0be4e37f6422411bb589861e1e6.ipynb,python3,"["" random"", "" matplotlib.pyplot"", "" numpy"", "" pandas"", ""scipy stats""]",4
c2cafeb6701aacca274b179fe1f020199f597605.ipynb,python3,"["" numpy"", "" pandas"", ""time time"", ""IPython.display display"", "" visuals"", ""sklearn.preprocessing MinMaxScaler"", ""sklearn.cross_validation train_test_split"", ""sklearn.metrics fbeta_score"", ""sklearn.metrics accuracy_score"", ""sklearn.tree DecisionTreeClassifier"", ""sklearn.base clone""]",2
e25a52cca337d9d3a741b9e7ce56fea9f30043b9.ipynb,pytorch_exericise,"["" torch"", "" torch.nn.functional"", "" matplotlib.pyplot"", "" numpy""]",4
